case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price
Stainless Steel and 18kt Yellow Gold,Stainless Steel and 18kt Yellow Gold Rolex Oyster,Solid,Diamond Set,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Diamonds,36.0,100.0,30015.0
Stainless Steel,Stainless Steel,Transparent,Ceramic,Alexander,MENS,Automatic,Dive,13.5,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,42.0,200.0,1266.0
Stainless Steel,Leather,Solid Engraved with Bridge Logo,Stainless Steel,Brooklyn Watch Co.,MENS,Quartz,Sport,12.65,Sapphitek,Luminous Gunmetal,Arabic Numeral / Index,44.0,100.0,79.99
Alloy,Alloy,Solid,Alloy,Breed,MENS,Quartz,Sport,11.0,Scratch Resistant Mineral,Silver-tone,Arabic Numeral and Index,46.0,50.0,119.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Sport,11.196182331158523,Scratch Resistant Sapphire,Luminous Gold-tone,Dot,44.0,200.0,319.0
Stainless Steel,Crocodile Leather,Solid,Stainless Steel,Breitling,WOMENS,Automatic,Dress,9.92,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,35.0,30.0,3795.0
Stainless Steel,Stainless Steel Rolex Oyster,Screw-down,Stainless Steel,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,31.0,100.0,8950.0
Ceramic,Alligator Leather,Transparent,18kt Swdna Gold,Omega,MENS,Automatic,Luxury,16.5,Scratch Resistant Sapphire,Luminous 18kt Sedna Gold,Index,44.0,50.0,14400.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,9.5,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond Index,27.0,50.0,485.0
Stainless Steel,Alligator Leather,Solid,Stainless Steel,Jaeger LeCoultre,MENS,Automatic,Luxury,11.6,Scratch Resistant Sapphire,Blued Steel Sword-shaped,Black Arabic Numeral,28.0,30.0,10975.0
Stainless Steel,Rubber,Solid,Stainless Steel,Franck Muller,WOMENS,Quartz,Luxury,10.4,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,35.0,30.0,4946.0
18kt Yellow Gold Diamond Encrusted,18kt Yellow Gold Rolex President,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-Tone,Diamond,26.0,100.0,35650.0
Brass,Stainless Steel Mesh,Solid,Brass set with Multi-Colored Crystals,Burgi,WOMENS,Quartz,Fashion,7.5,Scratch Resistant Hardlex,Gold-tone,Diamond,33.0,30.0,70.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Seiko,WOMENS,Eco-Drive,Casual,7.0,Scratch Resistant Hardlex,Yellow Gold-tone,Index,25.0,94.38815128863104,199.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Quartz,Casual,5.0,Scratch Resistant Sapphire,Black,Roman Numeral,29.0,30.0,799.0
Stainless Steel,Rubber,Transparent See Through,Stainless Steel,IWC,MENS,Automatic,Sport,15.4,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numeral,46.0,60.0,29700.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Black Ring,Citizen,MENS,Quartz,Casual,10.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,42.0,100.0,84.0
Stainless Steel,(Calfskin) Leather,Solid,Stainless Steel,Guess,WOMENS,Quartz,Casual,7.0,Scratch Resistant Mineral,Silver-tone,Roman Numeral,34.0,50.0,299.99
Stainless Steel,Silicone and Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Sport,17.0,Flame Fusion,Gold-tone,Index,50.0,100.0,88.99
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Invicta,MENS,Automatic,Casual,14.0,Mineral,Luminous Gold-tone Breguet-style,Dot,40.0,200.0,89.75
Stainless Steel,Leather,Solid,Stainless Steel,Oris,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Stick,38.299275680421424,30.0,1165.5
Stainless Steel With Rose Gold PVD Plated,Satin,Solid,Diamond Set,Raymond Weil,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Blue,Roman Numeral,29.0,50.0,1047.5
Brushed Titanium,Rubber (FMK Quality),Transparent,Brushed Titanium,Zenith,MENS,Automatic,Luxury,10.75,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,100.0,8260.0
Stainless Steel,(Alligator) Leather,Transparent,Stainless Steel,Baume Et Mercier,MENS,Automatic,Luxury,13.25,Scratch Resistant Sapphire,Blued Steel Leaf-style,Index,42.0,50.0,2240.0
Stainless Steel,Leather,Solid,Stainless Steel,Citizen,MENS,Automatic,Dress,11.1,Scratch Resistant Mineral,Silver-tone,Roman Numeral,40.0,50.0,114.0
Titanium,Rubber,Transparent,18kt Rose Gold,Hublot,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold,Index,45.0,50.0,8750.0
18k Rose Gold,Leather,Transparent See Through,18k Rose Gold,Carl F. Bucherer,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index,43.0,30.0,10250.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Black,Index,43.0,200.0,1282.0
Stainless Steel,(Alligator) Leather,Solid,Stainless Steel,Longines,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,32.0,30.0,2820.0
Stainless Steel,Leather,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Sport,11.45,Scratch Resistant Sapphire,Black,Arabic Numeral,37.0,100.0,679.0
Stainless Steel,Stainless Steel,Solid,Ceramic,Tag Heuer,WOMENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,300.0,2960.0
Stainless Steel,Leather,Solid,Stainless Steel,Tudor,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,31.0,100.0,2905.0
18kt Yellow Gold,18kt Yellow Gold Rolex President,Solid,18kt Yellow Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-Tone,Roman Numeral,31.0,100.0,26765.0
Stainless steel,Stainless Steel,Solid,Stainless steel,Johan Eric,MENS,Quartz,Casual,8.0,Scratch Resistant Mineral,Silver-tone,Index,40.0,50.0,119.99
18kt Rose Gold Diamond Set,Alligator Leather,Skeleton Transparent Exhibition See Through,Colourful Sapphire Set,Chopard,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral/Index,36.0,30.0,59260.0
18kt White Gold,Alligator Leather,Transparent See Through,18kt White Gold,Patek Philippe,WOMENS,Hand Wind,Luxury,8.35,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,33.0,30.0,36910.0
Stainless steel,Leather,Solid,Stainless steel,Rudiger,MENS,Quartz,Casual,6.0,Scratch Resistant Mineral,Silver-tone,Index,38.0,30.0,165.99
Stainless Steel,Leather,Solid,Stainless Steel,Certina,MENS,Quartz,Sport,13.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,100.0,238.89
Composite Metal,Leather,Solid,Composite Metal set with Crystals,August Steiner,WOMENS,Quartz,Fashion,9.0,Scratch Resistant Mineral,Gold-tone Alpha-style,Index,33.0,30.0,39.98
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Tissot,WOMENS,Quartz,Dress,5.0,Scratch Resistant Sapphire,Silver-tone,Index,19.0,30.0,269.0
18kt Rose Gold,(Alligator) Leather,Transparent,18kt Rose Gold,Breguet,MENS,Automatic,Luxury,8.25,Scratch Resistant Sapphire,"Blued ""Breguet"" Style",Arabic Numeral,38.0,30.0,17500.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Breitling,MENS,Automatic,Sport,16.46,Scratch Resistant Sapphire,Luminous Silver-tone,Index-Arabic Numeral,45.0,300.0,3350.0
Stainless Steel,Leather,Solid,Stainless Steel,Baume Et Mercier,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,41.0,30.0,650.0
Stainless Steel,Embossed Leather,Solid,Stainless Steel,Bulova,MENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index-Roman Numeral,29.0,30.0,178.67
18kt Rose Gold,Satin,Solid,18kt Rose Gold,Baume Et Mercier,WOMENS,Quartz,Luxury,6.1,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,26.0,50.0,5576.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Cartier,MENS,Automatic,Luxury,7.65,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Black Roman Numeral,31.0,30.0,3495.0
18kt Rose Gold,Leather,Skeleton Transparent Exhibition See Through,Diamond Set,Jaeger LeCoultre,MENS,Automatic,Luxury,10.8,Scratch Resistant Sapphire,Rose Gold-tone Sword-shaped,Arabic Numeral,39.0,50.0,49635.0
Stainless Steel,Rubber,Solid,Stainless Steel,Breitling,MENS,Automatic,Dive,13.3,Scratch Resistant Sapphire,Luminous Silver,Index,42.0,500.0,3450.0
Stainless Steel,Leather,Transparent,Stainless Steel,Thomas Earnshaw,MENS,Automatic,Dress,16.0,Scratch Resistant Mineral,Blue,Index,48.0,50.0,190.0
Stainless Steel,Stainless Steel and 18KT Yellow Gold,Solid,18KT Yellow Gold,Omega,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Index,36.0,30.0,4480.0
Stainless Steel,Stainless Steel,Solid,Diamond Set,Patek Philippe,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numeral,30.0,30.0,14950.0
Stainless Steel,Leather,Solid,Stainless Steel,Jaeger LeCoultre,WOMENS,Quartz,Dress,7.0,Scratch Resistant Sapphire,Blue Dauphine-style shape,Black Arabic Numeral,16.0,30.0,4775.0
316L Stainless Steel,316L Stainless Steel,Solid,316L Stainless Steel set with Zirconia Crystals,Mathey-Tissot,WOMENS,Quartz,Fashion,3.0,Scratch Resistant Mineral,Luminous Silver-tone,Zirconia Crystal,26.0,50.0,109.99
Stainless Steel,Stainless Steel,Transparent,Blue Ion- plated,Omega,MENS,Automatic,Sport,14.5,Scratch Resistant Sapphire,Luminous,Luminous Stick and Dot,41.0,300.0,3795.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Stuhrling Original,MENS,Automatic,Dive,14.0,Scratch Resistant Mineral,Silver-tone,Index,43.0,200.0,495.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Breitling,WOMENS,Quartz,Luxury,8.5,Scratch Resistant Sapphire,Luminous Silver-tone,Diamond-tipped Index,32.0,100.0,3550.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Nautis,MENS,Quartz,Casual,12.0,Scratch Resistant Mineral,Silver-tone,Arabic Numeral & Index,43.0,200.0,131.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Stuhrling Original,MENS,Automatic,Dive,16.0,Scratch Resistant Mineral,Silver-tone,Index,44.0,200.0,450.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Omega,MENS,Automatic,Dive,18.0,Scratch Resistant Sapphire,Luminous Silver-tone Skeleton,Dot,44.0,300.0,4585.0
18kt Everose Gold,Crocodile Leather,Solid,18kt Everose Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,18kt Everose Gold Alpha-style shape,Roman Numeral and Index,39.0,50.0,15730.0
Stainless Steel,Rubber,Skeleton,Stainless Steel,Oris,MENS,Automatic,Dive,12.6,Scratch Resistant Sapphire,Luminous Blue,Index,38.299275680421424,300.0,799.0
Stainless Steel,Stainless Steel,Skeleton,Stainless Steel,Mido,WOMENS,Automatic,Casual,9.4,Scratch Resistant Sapphire,Silver-tone,Index,33.0,100.0,729.0
Composite Metal,Silicone,Solid,Composite Metal,Joshua And Sons,MENS,Quartz,Fashion,9.0,Scratch Resistant Mineral,Black,Arabic Numeral (GMT Scale),40.0,30.0,51.02
Stainless Steel,Synthetic,Solid,Stainless Steel,Tissot,WOMENS,Quartz,Casual,6.9,Scratch Resistant Sapphire,Silver-tone,Index,34.0,50.0,192.0
18kt Rose Gold,Leather,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Ulysse Nardin,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Blue Leaf-style shape,Index,38.0,30.0,30800.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Silver-tone,Index,42.0,50.0,82.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Orient,MENS,Automatic,Casual,12.1,Scratch Resistant Mineral,Silver-tone Alpha-style,Index,41.0,50.0,129.0
18kt White Gold,Oysterflex,Solid,Monobloc Cerachrom,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,40.0,100.0,92000.0
Ceramic,Rubber,Transparent,Ceramic,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Black Skeleton,Dot,43.0,300.0,7250.0
Alloy,Leather,Solid,Alloy,Stuhrling Original,MENS,Quartz,Casual,14.0,Scratch Resistant Mineral,Luminous Rose Gold-tone,Index,45.0,30.0,275.0
Stainless Steel,Rubber,Transparent,18kt Sedna Gold with a Black Ceramic (Count-Up Elapsed Time) Ring,Omega,MENS,Automatic,Dive,13.6,Scratch Resistant Sapphire,Luminous Rose Gold-tone Skeleton,Dot,42.0,300.0,6885.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Tortoise-shell Acetate Inlay,Gv2 By Gevril,WOMENS,Quartz,Fashion,12.0,Scratch Resistant Sapphire,Gold-tone,Diamond Index,34.0,50.0,518.0
Stainless Steel,Leather,Skeleton Transparent Exhibition See Through,Stainless Steel,Blancpain,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral,45.0,300.0,17360.0
Stainless Steel,Leather,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Sport,11.5,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,41.0,100.0,710.0
Stainless Steel,Alligator Leather,Transparent,Stainless Steel,Longines,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Blue,Arabic Numeral,40.0,30.0,1854.0
Stainless Steel,Stainless Steel,Solid Engraved with Bridge Logo,Stainless Steel,Brooklyn Watch Co.,MENS,Quartz,Sport,12.65,Sappitek,Luminous Silver-tone,Arabic Numeral / Index,44.0,100.0,49.0
Stainless Steel,Stainless Steel and 18kt Everose Gold Rolex Jubile,Solid,18kt Everose Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,41.0,100.0,16250.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Bell And Ross,MENS,Automatic,Sport,14.25,Scratch Resistant Mineral,Silver-tone,Index-Arabic Numeral,42.0,100.0,3350.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Seiko,MENS,Quartz,Sport,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,38.0,100.0,158.14
Platinum 950,Crocodile Leather,Skeleton,84 Diamond Set (1.45 ct),Audemars Piguet,WOMENS,Hand Wind,Luxury,11.6,Scratch Resistant Sapphire,Blue Leaf-style shape,Arabic Numeral,39.0,20.0,254415.0
18kt Yellow Gold,18kt Yellow Gold Rolex President,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-Tone,Index,31.0,100.0,37790.0
18kt Everose Gold,18kt Everose Gold Rolex President,Solid,18kt Everose Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose-Gold Tone,Index,36.0,100.0,34065.0
Alloy,Leather,Solid,Alloy,Stuhrling Original,MENS,Automatic,Dress,14.0,Scratch Resistant Mineral,Blue,Arabic Numeral,46.0,50.0,300.0
Stainless Steel,Stainless Steel and 18kt Yellow Gold Rolex Jubilee,Solid,Diamond Set,Rolex,WOMENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Roman Numeral,36.0,100.0,20615.0
Stainless Steel,Leather,Solid,Stainless Steel,Alpina,MENS,Automatic,Sport,13.15,Scratch Resistant Sapphire,Silver-tone,Index,44.0,100.0,850.0
Stainless Steel,Stainless Steel with and Gray Tortoise-shell Aceta,Solid,Acetate,Nixon,WOMENS,Quartz,Sport,14.0,Scratch Resistant Mineral,Blue Skeleton,Alternating Index and Arabic Numeral,38.0,200.0,139.0
18kt Rose Gold,Leather,Transparent,18kt Rose Gold,Audemars Piguet,MENS,Automatic,Luxury,9.8,Scratch Resistant Sapphire,Gold-tone,Index,38.299275680421424,50.0,52950.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel with a Black Ceramic,Oris,MENS,Automatic,Dress,12.6,Scratch Resistant Sapphire,Luminous Silver-tone,Index,43.0,300.0,1195.0
Alloy,Stainless Steel,Solid,Alloy,Stuhrling Original,WOMENS,Quartz,Dress,8.0,Scratch Resistant Mineral,Silver-tone,Diamond,29.0,50.0,85.0
18kt Rose Gold,Rubber,Transparent,18kt Rose Gold with a Black Ring,Audemars Piguet,UNISEX,Automatic,Luxury,10.7,Scratch Resistant Sapphire,Rose Gold-tone,Index,41.0,30.0,29840.0
Stainless Steel,Rubber,Transparent,Stainless Steel with a Red and Blue Ring showing 24 Hour Markers,Revue Thommen,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Luminous Silver-tone,Dot,42.0,300.0,739.0
Stainless Steel,Stainless Steel and 18kt Yellow Gold Jubilee,Solid,18kt Yellow Gold set with Diamonds,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Yellow Gold,Index,31.0,100.0,18285.0
Bronze,(Calfskin) Leather,Transparent,Bronze with an inlaid Black Ceramic Ring,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index,41.0,300.0,8950.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Just Cavalli,WOMENS,Quartz,Casual,10.0,Scratch Resistant Mineral,Silver-tone,Index,40.0,30.0,225.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Black Top Ring,Citizen,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,41.0,200.0,269.0
Stainless Steel/18k White Gold,Stainless Steel Rolex Oyster,Screw-down,Diamond Set,Rolex,WOMENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,31.0,100.0,23115.0
18kt White Gold,Satin,Transparent,Diamond Set,Audemars Piguet,WOMENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blue,Roman Numeral,29.0,30.0,40725.0
18kt Rose Gold,18kt Rose Gold,Transparent,18kt Rose Gold,Patek Philippe,MENS,Hand Wind,Luxury,14.3,Scratch Resistant Sapphire,Rose Gold-tone,Index,40.0,30.0,265950.0
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,11.0,Flame Fusion,Silver-tone,Index,45.0,100.0,42.67
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Black Top Ring,Invicta,WOMENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Luminous Gold-tone,Dot,25.0,100.0,51.99
Stainless Steel,Leather,Solid,Stainless Steel,U-Boat,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,55.0,100.0,1525.0
Stainless Steel,Leather,Solid,Stainless Steel,Invicta,MENS,Quartz,Sport,13.5,Scratch Resistant Mineral,Silver-tone,Arabic Numeral,48.0,100.0,69.99
Stainless Steel,Alligator,Transparent See Through,Ceramic,Tag Heuer,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,42.0,100.0,5060.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel with an inlaid Black and Green Ring,Invicta,MENS,Automatic,Casual,14.5,Scratch Resistant Mineral,Luminous Gold-tone,Dot,40.0,200.0,92.99
Zalium,Rubber,Transparent See Through,Zalium,Harry Winston,MENS,Automatic,Luxury,12.5,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,44.0,100.0,18500.0
Stainless Steel,Leather,Solid,Stainless Steel,Tissot,MENS,Quartz,Sport,11.0,Scratch Resistant Sapphire,Luminous Black,Index,45.0,100.0,276.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,9.0,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Diamond,37.0,50.0,485.0
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,8.5,Scratch Resistant Sapphire,Silver-tone,Diamond,33.0,50.0,876.0
Stainless Steel,Leather,Transparent,Stainless Steel,Heritor,MENS,Automatic,Dress,13.0,Scratch Resistant Mineral,Luminous Rose Gold-tone,Index,45.0,50.0,120.19
18kt Rose Gold,Alligator Leather,Transparent,18kt Rose Gold,A. Lange & Sohne,UNISEX,Automatic,Luxury,10.2,Scratch Resistant Sapphire,Rose Gold-tone Alpha-style shape,Roman Numeral,38.0,94.38815128863104,52325.0
Alloy,Leather,Solid,Alloy,Simplify,UNISEX,Quartz,Casual,8.0,Scratch Resistant Mineral,Silver-tone,Index / Arabic Numeral,39.0,30.0,49.99
Stainless Steel,Parachute,Solid,Stainless Steel,Victorinox,WOMENS,Quartz,Casual,10.0,Scratch Resistant Sapphire,Luminous Grey,Index,37.0,100.0,315.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,9.0,Scratch Resistant Sapphire,Gold-tone,Diamond,37.0,50.0,485.0
18kt White Gold,Alligator/Crocodile Leather,Transparent,Diamond Set,Breguet,WOMENS,Automatic,Luxury,10.05,Scratch Resistant Sapphire,Blue,Roman Numeral,36.0,30.0,30730.0
Stainless Steel,Nylon and Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,14.0,Flame Fusion,Black,Index,46.0,50.0,45.99
18kt Rose Gold,Alligator,Solid,Diamond Set,Cartier,WOMENS,Quartz,Luxury,7.85,Scratch Resistant Sapphire,Gold-tone Sword-shaped,Roman Numeral,26.0,30.0,11150.0
Stainless Steel,Leather,Solid,Stainless Steel,Junghans,WOMENS,Quartz,Casual,7.0,Scratch Resistant Sapphire,Silver-tone,Index,34.0,50.0,385.0
Stainless Steel,Genuine Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,12.0,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,36.0,50.0,594.99
Composite Metal,Leather,Solid,Composite Metal,August Steiner,WOMENS,Quartz,Fashion,12.0,Scratch Resistant Mineral,Gold-tone,Index,34.0,30.0,53.36
Stainless Steel,Leather,Screw Down,Stainless Steel,Akribos Xxiv,MENS,Quartz,Casual,14.5,Mineral with Sapphire coating,Luminous Rose Gold-tone,Arabic Numeral,46.0,50.0,84.99
Stainless Steel,Stainless Steel,Solid,Crystal Set,Citizen,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Mineral,Gold-tone,Index-Arabic Numeral,33.0,50.0,109.0
Stainless Steel,Rubber,Transparent See Through,Stainless Steel,Bell And Ross,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,41.0,100.0,4255.0
Stainless Steel,Stainless Steel (Crystal-set),Solid,Stainless Steel,Christian Van Sant,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Mineral,Blue,Index,30.0,30.0,313.25
18kt White Gold,(Alligator) Leather,Transparent,18kt White Gold set with Diamonds,Patek Philippe,WOMENS,Automatic,Luxury,8.23,Scratch Resistant Sapphire,Blue Leaf-style,Blue Arabic Numeral,36.0,30.0,71875.0
Stainless Steel,Alligator Leather,Solid,Stainless Steel,Jaeger LeCoultre,WOMENS,Hand Wind,Luxury,8.7,Scratch Resistant Sapphire,Blue Sword-shaped,Black Arabic Numeral,21.0,30.0,9575.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Nixon,MENS,Quartz,Luxury,7.0,Scratch Resistant Mineral,Gold-tone,Index,40.0,50.0,140.0
Stainless steel,Stainless Steel,Solid,Stainless steel,Rudiger,WOMENS,Quartz,Casual,8.0,Scratch Resistant Mineral,Gold-tone,Index,26.0,30.0,195.99
Stainless Steel,Stainless Steel,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,100.0,17195.0
Stainless Steel,Rubber,Transparent See Through,Stainless Steel with an inlaid Green Ring,Breitling,MENS,Automatic,Sport,12.6,Scratch Resistant Sapphire,Silver-tone,Index,44.0,300.0,3450.0
18kt Rose Gold,Leather,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Vacheron Constantin,MENS,Automatic,Luxury,13.7,Scratch Resistant Sapphire,Rose Gold-tone,Index,42.0,150.0,57500.0
Titanium DLC,Rubber and Leather,Transparent,Titanium DLC,Tag Heuer,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Black,Index,39.0,100.0,8725.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Green Ring,Movado,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Luminous Black,Dot,43.0,50.0,745.99
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,MENS,Automatic,Casual,13.5,Scratch Resistant Sapphire,Gold-tone,Index,39.0,30.0,1590.0
18kt Yellow Gold,18kt Yellow Gold,Solid,18kt Yellow Gold,Cartier,MENS,Automatic,Luxury,9.08,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Black Roman Numeral,39.0,100.0,29550.0
Stainless Steel,Leather,Solid,Stainless Steel showing Tachymeter Markings,Certina,MENS,Quartz,Casual,11.7,Scratch Resistant Sapphire,Luminous Black,Arabic Numeral and Index,42.0,100.0,288.0
Stainless Steel,Stainless Steel Jubilee,Screw-down,Stainless Steel,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,18k Gold Index,36.0,100.0,16980.0
Stainless Steel,Fabric,Solid,Stainless Steel,Oris,UNISEX,Automatic,Sport,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Batons,38.0,100.0,1675.0
Stainless Steel,Satin,Transparent,Stainless Steel set with Diamonds,Frederique Constant,WOMENS,Automatic,Dress,10.0,Scratch Resistant Sapphire,Silver-tone,Diamond,34.0,60.0,2895.0
Stainless Steel,Leather,Solid,Stainless Steel,Porsamo Bleu,MENS,Quartz,Sport,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Arabic Numeral,44.0,50.0,198.0
Stainless Steel,Leather,Transparent,Stainless Steel with an inlaid Black Ring showing Slide Rule markings,Hamilton,MENS,Automatic,Military,11.196182331158523,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index / Arabic Numeral,42.0,100.0,869.0
